Object_ID,Object_Type,Material_Category,Origin_Name,Origin_Lat,Origin_Lon,Dest_Name,Dest_Lat,Dest_Lon,Prod_Start,Prod_End,Arrival_TAQ,Collection_Node,Historical_Evidence,Source_URL,Image_URL,Data_Status,Certainty_Score,Social_Life,Acquisition_Year_Historical,TAQ_Source
NG-1977-178-W,Wine jug,Stoneware,"Siegburg, DE",50.7981,7.2078,Saint Helena (Shipwreck),-15.965,-5.7089,1585,1585,1613,Rijksmuseum,"Stoneware jug from VOC ship 'Witte Leeuw', dated 1585.",https://id.rijksmuseum.nl/20071229,"https://iiif.micr.io/dXuuM/full/%5E600,/0/default.webp",Contextual,1,Maritime Provisions,,Historical
NG-1977-179-W,Bearded man jug,Stoneware,"Rhineland, DE",50.7981,7.2078,Saint Helena (Shipwreck),-15.965,-5.7089,1599,1599,1613,Rijksmuseum,"Stoneware jug from VOC ship 'Witte Leeuw', dated 1599. Features a bearded man relief on the neck and medallions on the body.",https://id.rijksmuseum.nl/20071230,"https://iiif.micr.io/hrCrt/full/%5E600,/0/default.webp",Contextual,1,Maritime Provisions,,Historical
NG-1977-167-W,Plate,Porcelain (Blue & White),"Jingdezhen, CN",29.2925,117.2023,Saint Helena (Shipwreck),-15.965,-5.7089,1573,1613,1613,Rijksmuseum,"Blue and white porcelain plate from VOC ship 'Witte Leeuw', Wanli period.",https://id.rijksmuseum.nl/20015810,"https://iiif.micr.io/hFQjH/full/%5E600,/0/default.webp",Extant,1,Maritime History,,Historical
NG-1977-183-W,Bottle,Stoneware,Southeast Asia,15.87,100.9925,Saint Helena (Shipwreck),-15.965,-5.7089,1550,1613,1613,Rijksmuseum,"Stoneware jar with loop handles from VOC ship 'Witte Leeuw', Southeast Asian origin.",https://id.rijksmuseum.nl/20073616,"https://iiif.micr.io/NaySh/full/%5E600,/0/default.webp",Contextual,1,Maritime Provisions,,Historical
NG-1977-200-W,Martavan,Stoneware,South China,23.1291,113.2644,Saint Helena (Shipwreck),-15.965,-5.7089,1600,1613,1613,Rijksmuseum,"Stoneware martavan (storage jar) from VOC ship 'Witte Leeuw', South China origin.",https://id.rijksmuseum.nl/200467658,"https://iiif.micr.io/kCxkp/full/%5E600,/0/default.webp",Contextual,1,Maritime Provisions,,Historical
NG-1978-127-1-AW,Dish fragment,Porcelain (Kraak),"Jingdezhen, CN",29.2925,117.2023,Saint Helena (Shipwreck),-15.965,-5.7089,1573,1613,1613,Rijksmuseum,"Kraak porcelain ewer dish fragment from VOC ship 'Witte Leeuw', Wanli period.",https://id.rijksmuseum.nl/20029080,"https://iiif.micr.io/fjuLy/full/%5E600,/0/default.webp",Extant,1,Commercial Commodity,,Historical
SLMisc.1058,Tiered box (Fragment),Porcelain (Arita ware),"Hizen, JP",33.185,129.88,"London, UK (British Museum)",51.5194,-0.127,1655,1679,1753,British Museum,"Sloane 'Miscellanea' cat: ""1058. Nests of China earthen ware boxes blew & white..."". Acquired from Daniel van Mildert.",https://www.britishmuseum.org/collection/object/A_SLMisc-1058,https://media.britishmuseum.org/media/Repository/Documents/2014_10/9_6/54316989_09fb_4771_bef9_a3bf006f49dd/mid_00482636_001.jpg,Extant,1,Scientific Curiosity,,Historical
Franks.88.+,Figure (Luohan),Unglazed Porcelain,"Zhejiang, CN",29,119.5,"London, UK (British Museum)",51.5194,-0.127,1662,1722,1753,British Museum,Figure (luohan). Unglazed porcelain. Mark: Jiang Mingao zao. Bequeathed by Sir Hans Sloane.,https://www.britishmuseum.org/collection/object/A_Franks-88-,https://media.britishmuseum.org/media/Repository/Documents/2024_1/11_10/a6d6b9c6_2b9b_4d30_8df5_b0f400b4e960/mid_IMG_0962.jpg,Extant,1,Scientific Curiosity,,Historical
SLMisc.1241,Water-dropper (Peach shape),Porcelain,"Jingdezhen, CN",29.2925,117.2023,"London, UK (British Museum)",51.5194,-0.127,1600,1699,1753,British Museum,"Sloane cat: ""1241. China ware made into the form of a Melongena."" (A peach-shaped water dropper misidentified as an eggplant).",https://www.britishmuseum.org/collection/object/A_SLMisc-1241,https://media.britishmuseum.org/media/Repository/Documents/2023_12/6_12/68852371_c461_45cc_af6e_b0d000d1999a/mid_SLMisc_1241_also_known_as_OA__7038.jpg,Extant,1,Scientific Curiosity,,Historical
SLMisc.1059,Lidded box,Porcelain (Imari ware),"Arita, JP",33.185,129.88,"London, UK (British Museum)",51.5194,-0.127,1651,1700,1753,British Museum,"Sloane cat: ""1059. The same."" Imari ware (underglaze blue & overglaze red). Acquired from Daniel van Mildert.",https://www.britishmuseum.org/collection/object/A_SLMisc-1059,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_9/e21ab2d4_e959_47c4_b735_a3bc00a02cb6/mid_00400892_001.jpg,Extant,1,Scientific Curiosity,,Historical
SLMisc.922,Figure (Phoenix with hidden box),Enamelled Porcelain,"Jingdezhen, CN",29.2925,117.2023,"London, UK (British Museum)",51.5194,-0.127,1662,1722,1753,British Museum,Sloane cat: Phoenix figures. Under each bird is a box inside which are two small figures making love.,https://www.britishmuseum.org/collection/object/A_SLMisc-922,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_20/35fefcdd_9da3_4a69_8b18_a3b5014ccc19/mid_00163139_001.jpg,Extant,1,Scientific Curiosity,,Historical
OR 966,Vase with lid,Porcelain (Kakiemon style),"Arita, JP",33.185,129.88,"Vienna, AT (MAK)",48.2074,16.3815,1600,1699,1699,MAK Vienna,"Vase with lid. 17th century Arita ware, overglaze enamel painting in Kakiemon style.",https://sammlung.mak.at/en/collect/vase-with-lid_46124,https://mak-media.azureedge.net/xl/e34849007c0edd0938d72a2445c9a3f6.jpg,Extant,1,Commercial / Collection,1907,Institutional (corrected to Prod_End)
KE 8072,Lidded jar,Porcelain (Kakiemon style),"Saga (Arita), JP",33.185,129.88,"Vienna, AT (MAK)",48.2074,16.3815,1666,1699,1699,MAK Vienna,"17th c. Arita ware, overglaze enamel in Kakiemon style. Exported to adorn European palaces.",https://sammlung.mak.at/en/collect/lidded-jar_46146,https://mak-media.azureedge.net/xl/eb95c7efaa01fcb1093165ae7fde1bfd.jpg,Extant,1,Commercial / Collection,1948,Institutional (corrected to Prod_End)
KE 3506,Dish,Kraak porcelain,"Jingdezhen, CN",29.2925,117.2023,"Vienna, AT (MAK)",48.2074,16.3815,1573,1619,1619,MAK Vienna,Wanli period (1573-1619) Kraak porcelain dish. Cobalt blue underglaze. Acquired 1888.,https://sammlung.mak.at/en/collect/dish_49377,https://mak-media.azureedge.net/xl/c0270524bdca0e865786466ea52d6479.jpg,Extant,1,Commercial / Collection,1888,Institutional (corrected to Prod_End)
KE 3891,Pot,Porcelain / Gilt Bronze,"Arita, JP",33.185,129.88,"Vienna, AT (MAK)",48.2074,16.3815,1667,1699,1699,MAK Vienna,Late 17th-century Arita porcelain (underglaze cobalt blue) with European gilt bronze mounting. Acquired 1894.,https://sammlung.mak.at/en/collect/pot-with-european-mounting_45779,https://mak-media.azureedge.net/xl/4002bfa64b52a9f66d41b85dae97340e.jpg,Extant,1,Commercial / Collection,1894,Institutional (corrected to Prod_End)
OR 620,Covered jar (Export),Porcelain (Underglaze blue),"Jingdezhen, CN",29.2925,117.2023,"Vienna, AT (MAK)",48.2074,16.3815,1662,1722,1722,MAK Vienna,Kangxi period (1662-1722) porcelain jar with underglaze cobalt blue. From Handelsmuseum collection.,https://sammlung.mak.at/en/collect/covered-jar-for-export_47989,https://mak-media.azureedge.net/xl/8d707cf630d122932fb83e2e44ec8cf7.jpg,Extant,1,Commercial / Collection,1907,Institutional (corrected to Prod_End)
